trimesh\util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.9 it will stop working
networkx\readwrite\graphml.py:346: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
networkx\readwrite\gexf.py:220: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
trimesh\voxel\runlength.py:205: DeprecationWarning: `np.bool` is a deprecated alias for the builtin `bool`. To silence this warning, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
2021-06-06 13:34:31,816 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ConsoleLogger
2021-06-06 13:34:31,829 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraDrive
2021-06-06 13:34:31,849 - INFO - [MainThread] CuraEngineBackend.CuraEngineBackend.__init__ [96]: Found CuraEngine at: C:\Program Files\Ultimaker Cura 4.9.1\CuraEngine.exe
2021-06-06 13:34:31,852 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraEngineBackend
2021-06-06 13:34:31,859 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraProfileReader
2021-06-06 13:34:31,860 - DEBUG - [MainThread] UM.Backend.Backend._logSocketState [188]: Socket state changed to Listening
2021-06-06 13:34:31,873 - INFO - [MainThread] UM.Backend.Backend.startEngine [90]: Started engine process: C:\Program Files\Ultimaker Cura 4.9.1\CuraEngine.exe
2021-06-06 13:34:31,874 - DEBUG - [MainThread] UM.Backend.Backend._backendLog [110]: [Backend] Calling engine with: ['C:\\Program Files\\Ultimaker Cura 4.9.1\\CuraEngine.exe', 'connect', '127.0.0.1:49674', '']
2021-06-06 13:34:31,881 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraProfileWriter
2021-06-06 13:34:31,927 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin DigitalLibrary
2021-06-06 13:34:31,934 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin OBJReader
2021-06-06 13:34:31,939 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin OBJWriter
2021-06-06 13:34:31,952 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin STLReader
2021-06-06 13:34:31,958 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin STLWriter
2021-06-06 13:34:31,966 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FileLogger
2021-06-06 13:34:31,975 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-06-06 13:34:31,977 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] Cura_SteamEngine version 4.9.1
2021-06-06 13:34:31,979 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] Copyright (C) 2020 Ultimaker
2021-06-06 13:34:31,980 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-06-06 13:34:31,982 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] This program is free software: you can redistribute it and/or modify
2021-06-06 13:34:31,983 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] it under the terms of the GNU Affero General Public License as published by
